source,source_qc_2_status,reason
picons/0.8w/digislovakia/transparent/1_0_19_1B6C_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B6D_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B74_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1F4E_AF8_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1F4F_AF8_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_207_14_46_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2333_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2335_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_233A_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_233C_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_233E_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2343_AF9_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2B06_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2B08_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_2B0B_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F3_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F4_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F5_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F7_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F8_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3F9_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_3FC_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_6F_C_A_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7728_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7733_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7734_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_773D_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_773F_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7741_2C1_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7813_2C3_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7A4F_2CB_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7A50_2CB_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7AB7_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7AB8_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7AB9_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7ABA_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7ABE_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7ABF_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7DB_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7DC_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7DD_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7DE_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7DF_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7E0_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7E1_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7E2_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_7E3_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_FB0_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_FB4_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_FB8_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_FBA_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_FBD_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_177B_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_177C_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_1784_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_2B04_AFB_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_3FF_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_401_C_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_4A6_3_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_596_C_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_75A0_2BD_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_77FC_2C3_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7801_2C3_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7805_2C3_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_78D9_2C5_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_78DB_2C5_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_78DE_2C5_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7995_2C7_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79A1_2C7_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79A2_2C7_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79A9_2C7_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79F2_2C8_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79F4_2C8_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_79F5_2C8_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7A03_2C8_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7A0A_2C8_600_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7A5F_2CB_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7AC3_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_7AC4_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_A96_3_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_B22_C_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_B60_14_46_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_CEE_3_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FAE_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FAF_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FB1_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FB5_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FB6_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FB9_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FBB_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FBC_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FC1_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_1_FC8_D_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digitv/transparent/1_0_1_1770_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digitv/transparent/1_0_1_177A_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digitv/transparent/1_0_1_3EB_2_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digitv/transparent/1_0_1_3EE_1_1_E08318F_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digitv/transparent/1_0_1_3EF_1_1_E08318F_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
